Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Evaluation of risks
1136958,1141642^1223736,,
1108701,1208932^1129877^1144519^1188131^1121661^1129247^1114910,,
1263951,1268714,,
1107684,1174486^1147215,,
1190257,1256547,,
1204922,1239861,,
1240054,1267579,,
1243071,1283330,,
1138391,1207571,,
1085175,1096721^1138072,,
1114347,1243793,,
1233819,1283594,,
1085266,1124880,,
1244500,1265173,,
1146663,1292505,,
1219852,1253777^1220728,,
1242904,1261318,,
1139271,1149278^1271847^1148203,,
1207785,1211046,,
1200208,1200673,,
1230209,1240766,,
1111328,1203736^1147744^1199193^1187076,,
1173260,1243226,,
1133119,1224976,,
1088043,1269365,,
1130195,1161642,,
1125970,1154194^1155268^1168531^1145101^1154782,,
1079546,1122788^1134309,,
1063733,1078211^1067018^1069369,,
1150277,1268984,,
1147521,1153145^1155241,,
1154536,1210232,,
1180443,1224230,,
1268195,1269539,,
1061696,1068613,,
1123498,1269408,,
1068189,1094409,,
1241665,1241816,,
1097437,1123019,,
1104008,1135271,,
1063538,1251697,,
1139779,1147744,,
1110608,1255626^1114383,,
1154683,1158568,,
1170809,1255597,,
1131487,1163227,,
1196882,1269055,,
1212499,1253386,,
1119776,1151175,,
1074765,1074765,,
1128357,1284875,,
1205083,1257028^1273691,,
1185636,1191609^1285658,,
1173972,1179051,,
1234422,1257759^1237582,,
1199224,1224994,,
1073825,1240025,,
1120655,1280132,,
1179110,1269408,,
1145143,1204922,,
1166924,1169867,,
1093316,1174450,,
1137614,1159840,,
1248913,1275026,,
1119463,1125621,,
1277882,1279608,,
1169129,1267918,,
1258768,1265282^1270075,,
1111413,1129246^1168778^1118528^1167608,,
1116056,1149278^1271847^1204580^1186149,,
1225003,1230692,,
1058376,1169268,,
1143299,1153695,,
1235633,1265036^1263292,,
1083648,1174486,,
1261230,1265577,,
1092010,1240985^1110938^1237458,,
1129523,1129877,,
1219330,1293772,,
1170211,1197296,,
1141260,1264467,,
1154115,1178961^1166492^1167230,,
1108836,1172824,,
1257234,1259699,,
1199518,1261900,,
1259065,1265977,,
1207378,1224200,,
1072645,1073704,,
1136107,1143968,,
1149298,1246925,,
1167189,1266831,,
1206979,1234553,,
1111971,1164567^1171716,,
1150805,1261428,,
1064481,1074963,,
1176363,1190950,,
1226148,1257759,,
1170522,1187178,,
1135491,1254847,,
1110534,1155268^1181894^1127554^1143339^1199193^1121757,,
1112410,1122586,,
1249578,1285867,,
1146874,1256992,,
1128765,1131638^1236112,,
1182411,1257759^1284939^1222662,,
1134841,1169210,,
1081911,1153724,,
1198435,1266926,,
1246447,1294500,,
1257242,1275040^1275039,,
1105194,1227136,,
1171228,1192989,,
1142433,1254731,,
1263991,1286281^1287163,,
1207556,1254856,,
1060811,1160689,,
1125503,1147497,,
1114383,1195073^1118528,,
1268740,1288985,,
1159973,1195578,,
1145405,1160914,,
1215140,1253777^1247623^1226479,,
1175765,1183433,,
1195051,1259831,,
1109437,1142527^1127203^1128811^1123983^1143575^1135785^1121148,,
1123452,1283724,,
1066410,1067718,,
1092915,1163227,,
1138616,1221160,,
1207424,1269029,,
1258317,1266440,,
1106448,1285867,,
1129263,1235183^1140089,,
1141081,1235573,,
1145336,1237842,,
1171629,1186149,,
1072491,1079250,,
1290365,1293206,,
1135541,1267918^1169129,,
1238558,1292505,,
1262136,1277818,,
1124031,1237842,,
1183433,1185392,,
1114804,1170045,,
1089364,1135271^1147728^1104008,,
1178653,1236548,,
1258312,1263953,,
1254335,1257053,,
1268569,1276869,,
1096089,1125776^1129247^1128397^1127203,,
1133866,1144432,,
1223512,1258236,,
1203616,1276483,,
1148071,1163239^1183433,,
1223131,1278605,,
1172239,1216431,,
1132796,1163227,,
1269325,1271847,,
1121876,1123269,,
1249312,1249659,,
1172870,1278253^1231498^1276013^1279503^1238707,,
1081686,1089328^1139297^1105194,,
1192573,1211805,,
1219134,1236746^1239066,,
1175366,1279063,,
1243607,1244913,,
1262731,1264403,,
1097823,1129246^1128576^1108701,,
1062293,1070457^1085356^1190676^1074420,,
1072780,1258144^1074048^1117295,,
1227327,1275026,,
1167883,1274922,,
1051822,1201051^1212349,,
1185820,1251697,,
1165851,1236258,,
1121692,1129247^1143575,,
1145631,1245241^1148033^1271848^1265045^1251697^1207270^1179051^1188265^1202788^1162861^1167816^1251272^1247835^1227327^1251163^1191936^1180070^1234548^1244995^1169440^1224659^1147894^1269539^1246091^1172785^1213154^1160321^1215115^1248851^1221043^1219469^1157546^1190252^1168042^1203766^1147193^1152921^1153023^1270023^1179935^1152051^1155547^1164567^1268822^1278205^1249503^1166847^1270161^1248197^1167608^1174450^1165833^1184333^1284030^1212904,,
1110268,1156058,,
1117925,1135271,,
1072775,1074048^1208656,,
1109644,1135655,,
1208946,1262635,,
1138253,1143575,,
1276732,1278403,,
1240589,1240589,,
1049138,1117338,,
1144398,1189852,,
1051633,1172467,,
1060738,1224766^1154389^1213517^1103188^1181896,,
1272916,1276184,,
1063271,1255817,,
1277818,1280951,,
1268749,,,
1167961,,,
1279440,,,
1221881,,,
1094097,,,
1159747,,,
1146696,,,
1096026,,,
1131880,,,
1096695,,,
1280132,,,
1151644,,,
1060933,,,
1268155,,,
1256307,,,
1249036,,,
1090415,,,
1181890,,,
1180610,,,
1291685,,,
1090633,,,
1285502,,,
1264905,,,
1127641,,,
1165303,,,
1151318,,,
1074280,,,
1168802,,,
1088467,,,
1177443,,,
1261062,,,
1236643,,,
